Ticker,Name,Market Cap,Average 1 Month Volume,Sector,Industry
MSFT,Microsoft Corporation,1.89858E+12,29080600.19,Technology,Application Software
GOOGL,Alphabet Inc - Class A,1.30711E+12,33238327.05,Technology,Online Media
AMZN,Amazon.com Inc,9.74258E+11,92862167.38,Consumer Cyclical,Retail - Apparel & Specialty
BRK-B,Berkshire Hathaway Inc - Class B,6.94454E+11,3921886.048,Financial Services,Insurance
TSLA,Tesla Inc,6.14814E+11,90589138,Consumer Cyclical,Autos
UNH,Unitedhealth Group Inc,5.01661E+11,3676508.381,Healthcare,Health Care Plans
JNJ,Johnson & Johnson,4.67313E+11,6553886.286,Healthcare,Drug Manufacturers
XOM,Exxon Mobil Corp,4.56307E+11,17141826.29,Energy,Oil & Gas - Integrated
V,Visa Inc - Class A,4.48364E+11,7771283.381,Financial Services,Credit Services
TSM,Taiwan Semiconductor Manufacturing,4.21576E+11,17142782.67,Technology,Semiconductors
NVDA,NVIDIA Corp,4.21521E+11,50655449.38,Technology,Semiconductors
WMT,Walmart Inc,4.13608E+11,7347361.381,Consumer Defensive,Retail - Defensive
JPM,JPMorgan Chase & Company,3.9962E+11,10575728.48,Financial Services,Banks
PG,Procter & Gamble Company,3.53677E+11,6398318.952,Consumer Defensive,Consumer Packaged Goods
CVX,Chevron Corp,3.5287E+11,7508824.81,Energy,Oil & Gas - Integrated
LLY,Lilly(Eli) & Company,3.51879E+11,3106993.333,Healthcare,Drug Manufacturers
MA,Mastercard Incorporated - Class A,3.46895E+11,2660325.333,Financial Services,Credit Services
HD,Home Depot Inc,3.33345E+11,5197328.429,Consumer Cyclical,Retail - Apparel & Specialty
META,Meta Platforms Inc - Class A,3.19353E+11,47148165.57,Technology,Online Media
BAC,Bank Of America Corp,2.9322E+11,34116233.38,Financial Services,Banks
BABA,Alibaba Group Holding Ltd,2.91856E+11,30401774.38,Consumer Cyclical,Retail - Apparel & Specialty
NVO,Novo Nordisk,2.9136E+11,1370707.19,Healthcare,Biotechnology
PFE,Pfizer Inc,2.86728E+11,19626558.24,Healthcare,Drug Manufacturers
ABBV,Abbvie Inc,2.8584E+11,5394381.905,Healthcare,Drug Manufacturers
MRK,Merck & Co Inc,2.78386E+11,9529293.143,Healthcare,Drug Manufacturers
KO,Coca-Cola Company,2.75861E+11,12919320.29,Consumer Defensive,Beverages - Non-Alcoholic
PEP,PepsiCo Inc,2.56116E+11,4694234.524,Consumer Defensive,Beverages - Non-Alcoholic
ASML,ASML Holding NV,2.46094E+11,1438881.143,Technology,Semiconductors
ORCL,Oracle Corp,2.26731E+11,6745641.048,Technology,Application Software
AVGO,Broadcom Inc,2.23055E+11,2225917.286,Technology,Semiconductors
SHEL,Shell Plc ADR (Representing - ),2.23032E+11,4280831.81,Unknown Sector,Unknown Industry
COST,Costco Wholesale Corp,2.23011E+11,2191879.048,Consumer Defensive,Retail - Defensive
TMO,Thermo Fisher Scientific Inc,2.21418E+11,1534537.952,Healthcare,Medical Diagnostics & Research
AZN,Astrazeneca plc,2.11772E+11,5242397.667,Healthcare,Drug Manufacturers
CSCO,Cisco Systems Inc,2.05282E+11,20498879.14,Technology,Communication Equipment
TM,Toyota Motor Corporation,2.0345E+11,174464.1429,Consumer Cyclical,Autos
ACN,Accenture plc - Class A,2.01468E+11,1906195.476,Technology,Application Software
NVS,Novartis AG,2.00742E+11,2075656.19,Healthcare,Drug Manufacturers
MCD,McDonald`s Corp,2.00245E+11,3277726.048,Consumer Cyclical,Restaurants
DHR,Danaher Corp,1.99855E+11,2684731.714,Healthcare,Medical Diagnostics & Research
