,ds,holiday
0,2000-01-17,USFederalHoliday
1,2000-02-21,USFederalHoliday
2,2000-05-29,USFederalHoliday
3,2000-07-04,USFederalHoliday
4,2000-09-04,USFederalHoliday
5,2000-10-09,USFederalHoliday
6,2000-11-10,USFederalHoliday
7,2000-11-23,USFederalHoliday
8,2000-12-25,USFederalHoliday
9,2001-01-01,USFederalHoliday
10,2001-01-15,USFederalHoliday
11,2001-02-19,USFederalHoliday
12,2001-05-28,USFederalHoliday
13,2001-07-04,USFederalHoliday
14,2001-09-03,USFederalHoliday
15,2001-10-08,USFederalHoliday
16,2001-11-12,USFederalHoliday
17,2001-11-22,USFederalHoliday
18,2001-12-25,USFederalHoliday
19,2002-01-01,USFederalHoliday
20,2002-01-21,USFederalHoliday
21,2002-02-18,USFederalHoliday
22,2002-05-27,USFederalHoliday
23,2002-07-04,USFederalHoliday
24,2002-09-02,USFederalHoliday
25,2002-10-14,USFederalHoliday
26,2002-11-11,USFederalHoliday
27,2002-11-28,USFederalHoliday
28,2002-12-25,USFederalHoliday
29,2003-01-01,USFederalHoliday
30,2003-01-20,USFederalHoliday
31,2003-02-17,USFederalHoliday
32,2003-05-26,USFederalHoliday
33,2003-07-04,USFederalHoliday
34,2003-09-01,USFederalHoliday
35,2003-10-13,USFederalHoliday
36,2003-11-11,USFederalHoliday
37,2003-11-27,USFederalHoliday
38,2003-12-25,USFederalHoliday
39,2004-01-01,USFederalHoliday
40,2004-01-19,USFederalHoliday
41,2004-02-16,USFederalHoliday
42,2004-05-31,USFederalHoliday
43,2004-07-05,USFederalHoliday
44,2004-09-06,USFederalHoliday
45,2004-10-11,USFederalHoliday
46,2004-11-11,USFederalHoliday
47,2004-11-25,USFederalHoliday
48,2004-12-24,USFederalHoliday
49,2004-12-31,USFederalHoliday
50,2005-01-17,USFederalHoliday
51,2005-02-21,USFederalHoliday
52,2005-05-30,USFederalHoliday
53,2005-07-04,USFederalHoliday
54,2005-09-05,USFederalHoliday
55,2005-10-10,USFederalHoliday
56,2005-11-11,USFederalHoliday
57,2005-11-24,USFederalHoliday
58,2005-12-26,USFederalHoliday
59,2006-01-02,USFederalHoliday
60,2006-01-16,USFederalHoliday
61,2006-02-20,USFederalHoliday
62,2006-05-29,USFederalHoliday
63,2006-07-04,USFederalHoliday
64,2006-09-04,USFederalHoliday
65,2006-10-09,USFederalHoliday
66,2006-11-10,USFederalHoliday
67,2006-11-23,USFederalHoliday
68,2006-12-25,USFederalHoliday
69,2007-01-01,USFederalHoliday
70,2007-01-15,USFederalHoliday
71,2007-02-19,USFederalHoliday
72,2007-05-28,USFederalHoliday
73,2007-07-04,USFederalHoliday
74,2007-09-03,USFederalHoliday
75,2007-10-08,USFederalHoliday
76,2007-11-12,USFederalHoliday
77,2007-11-22,USFederalHoliday
78,2007-12-25,USFederalHoliday
79,2008-01-01,USFederalHoliday
80,2008-01-21,USFederalHoliday
81,2008-02-18,USFederalHoliday
82,2008-05-26,USFederalHoliday
83,2008-07-04,USFederalHoliday
84,2008-09-01,USFederalHoliday
85,2008-10-13,USFederalHoliday
86,2008-11-11,USFederalHoliday
87,2008-11-27,USFederalHoliday
88,2008-12-25,USFederalHoliday
89,2009-01-01,USFederalHoliday
90,2009-01-19,USFederalHoliday
91,2009-02-16,USFederalHoliday
92,2009-05-25,USFederalHoliday
